================================================================
TRACKER: Quant.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/Quant.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,903,400,000,000
Start Time:           7/15/2026 9:33:24 PM UTC
End Time:             7/25/2026 3:48:02 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

Quant.tkr : 20260725_034802.65 | 8903400000000 flips → heads: 50+2.6e-05% (Z:+0.1634) | a: 50+1.1e-04% (Z:+0.7017) | aHeads: 50+8.5e-05% | aTails: 50+1.4e-04% | aSame: 50+4.3e-04% | aDiff: 50-2.1e-04% | [RATE] H/T: 50+1.4e-04%/ 50+8.5e-05% S/D: 50+4.3e-04%/ 50-2.1e-04% | wallclock: 9.06:11:32 | fps: 11130745 | Z(1.96) in 16:58:23 | Z(3.00) in 1.19:06:55

segments              : 89
Edge Excursion Score  : +0.401426   // median(best TrueZ per segment)
Edge Settlement Score : -0.920284   // mean(end TrueZ per segment)
Edge Persistence Index: -0.383004   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.383116
medianBestTrueZ       : +0.401426
avgEndTrueZ           : -0.920284
medianEndTrueZ        : -0.995049
avgMeanTrueZ          : -0.967614

bestTrueZ >= 1.96     :   4.4944%
bestTrueZ >= 3.00     :   3.3708%
endTrueZ  >= 0.00     :  23.5955%
endTrueZ  >= 1.96     :   1.1236%
meanTrueZ >= 0.00     :  13.4831%

Anticipation Path:
avgMeanA               : 50-2.10422e-05%
avgEndA                : 50-2.23320e-05%
medianEndA             : 50-5.00780e-05%
avgPctAAtLeast50       :  41.6180%
endA >= 50.00          :  40.4494%

Underlying Heads:
avgMeanZHeads          : -0.005895
avgEndZHeads           : -0.008002
medianEndZHeads        : +0.035645
avgPctZHeadsAbove0     :  51.3094%
endZHeads >= 0.00      :  51.6854%
|endZHeads| >= 1.96    :   7.8652%
corrMeanZHeadsMeanTrueZ: +0.192722
corrEndZHeadsEndTrueZ  : +0.255668
corrMeanAMeanZHeads    : +0.180743
corrEndAEndZHeads      : +0.268929
corrMeanAMeanTrueZ     : +0.902737
corrEndAEndTrueZ       : +0.856071

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
  0 | 200,000,000..99,800,… | +0.663699 |  50+2.34220e-03% | -0.001399 | -0.922203 |  50+5.17745e-05% |  50-6.55855e-05% | -0.328523 | -0.608730 |  33.467% |   6.413%
  1 | 100,000,000,000..199… | +0.224218 |  50+8.03860e-05% | -1.244236 | -0.566765 |  50+3.09420e-05% |  50+5.67485e-05% | -1.439930 | -0.925675 |  97.600% |   0.000%
  2 | 200,000,000,000..299… | +0.952858 |  50+2.02660e-04% | -1.105254 | -0.031560 |  50-3.91270e-05% |  50+7.21682e-05% | +0.857793 | +0.044322 |  83.600% |  68.800%
  3 | 300,000,000,000..399… | +1.346257 |  50+2.16047e-04% | +1.013814 | -0.844532 |  50+2.07290e-04% |  50+5.74846e-06% | -0.297204 | +0.871929 |  43.400% |  95.800%
  4 | 400,000,000,000..499… | +1.817829 |  50+3.22771e-04% | +1.206826 | +0.268443 |  50+2.61911e-04% |  50+2.16788e-04% | +0.449644 | -1.070266 | 100.000% |   7.200%
  5 | 500,000,000,000..599… | +1.131621 |  50+2.43273e-04% | -0.415049 | +0.226553 |  50+7.79620e-05% |  50+2.38939e-04% | +0.908124 | +1.284628 | 100.000% | 100.000%
  6 | 600,000,000,000..699… | -0.166500 |  50+9.50690e-05% | -3.878337 | -2.716424 |  50-3.42111e-04% |  50-1.76729e-04% | +1.714638 | +1.598690 |  23.800% | 100.000%
  7 | 700,000,000,000..799… | +0.669100 |  50+1.10316e-04% | -1.236697 | -1.259881 |  50-2.37260e-05% |  50-3.42728e-05% | +1.086641 | +0.977218 |  57.400% |  84.600%
  8 | 800,000,000,000..899… | +1.352620 |  50+2.18080e-04% | +0.499703 | -0.078480 |  50+2.21469e-04% |  50+6.44450e-05% | -0.900990 | +0.176256 |  59.800% |  62.800%
  9 | 900,000,000,000..999… | +0.679498 |  50+2.19059e-04% | -0.301536 | -0.337606 |  50-1.15320e-05% |  50+2.04314e-05% | +0.228601 | -0.409081 |  56.800% |  13.000%
 10 | 1,000,000,000,000..1… | +2.050313 |  50+4.48437e-04% | +1.739335 | +0.090171 |  50+4.31584e-04% |  50+1.65560e-04% | +0.990242 | +0.956921 |  91.600% | 100.000%
 11 | 1,100,000,000,000..1… | +2.637359 |  50+4.40044e-04% | +0.324968 | +1.054525 |  50+2.91946e-04% |  50+3.48466e-04% | +1.521460 | +1.149366 | 100.000% | 100.000%
 12 | 1,200,000,000,000..1… | +1.325741 |  50+2.26073e-04% | -0.631855 | +0.556780 |  50-5.30590e-05% |  50+1.81103e-04% | +0.296280 | +0.562861 |  96.000% |  90.200%
 13 | 1,300,000,000,000..1… | +0.553266 |  50+9.13940e-05% | +0.100908 | -0.542616 |  50+8.66710e-05% |  50-3.01128e-05% | -0.447247 | -0.228534 |  23.800% |  21.800%
 14 | 1,400,000,000,000..1… | +1.019948 |  50+1.65357e-04% | -1.911704 | -0.019706 |  50-2.12343e-04% |  50+3.53319e-05% | -0.568729 | +0.033675 |  67.800% |  61.200%
 15 | 1,500,000,000,000..1… | -1.842387 |  50-2.05797e-04% | -2.273557 | -2.871164 |  50-2.40137e-04% |  50-3.66597e-04% | +0.754798 | +0.179210 |   0.000% |  60.000%
 16 | 1,600,000,000,000..1… | -0.026816 |  50+1.77897e-04% | -0.084755 | -1.261511 |  50+1.63343e-04% |  50-5.50772e-05% | -1.117827 | -0.754471 |  42.000% |  19.200%
 17 | 1,700,000,000,000..1… | +1.333963 |  50+3.34148e-04% | -0.436609 | +0.130449 |  50+5.57370e-05% |  50+1.98907e-04% | -0.789121 | -1.127548 |  99.800% |   0.000%
 18 | 1,800,000,000,000..1… | +0.576565 |  50+1.61911e-04% | -1.544570 | -0.766406 |  50-1.82389e-04% |  50-4.44377e-05% | -0.391041 | -0.464428 |  35.800% |   5.800%
 19 | 1,900,000,000,000..1… | +0.549737 |  50+9.89250e-05% | -0.279526 | -0.674903 |  50+2.72763e-04% |  50+3.13327e-05% | -2.004631 | -0.871193 |  62.200% |   1.200%
 20 | 2,000,000,000,000..2… | +0.450435 |  50+3.18009e-04% | -0.570089 | -1.053006 |  50+7.33490e-05% |  50+1.00945e-04% | -1.033989 | -1.691439 |  85.200% |   0.000%
 21 | 2,100,000,000,000..2… | +1.179390 |  50+2.47358e-04% | -0.464071 | +0.394496 |  50+2.45260e-04% |  50+1.99292e-04% | +2.015231 | +0.701755 | 100.000% |  87.000%
 22 | 2,200,000,000,000..2… | +1.252471 |  50+2.51327e-04% | -0.872928 | +0.414755 |  50-1.30926e-04% |  50+1.33976e-04% | -0.044879 | +0.363935 |  87.200% |  79.000%
 23 | 2,300,000,000,000..2… | -0.084041 |  50+1.27937e-04% | -0.101977 | -1.739275 |  50+1.51853e-04% |  50-4.68573e-05% | +1.062380 | +1.432892 |  12.600% |  96.000%
 24 | 2,400,000,000,000..2… | +1.635770 |  50+2.75745e-04% | +0.630027 | +0.648810 |  50+2.86691e-04% |  50+1.81409e-04% | +1.183166 | +0.308570 | 100.000% |  69.200%
 25 | 2,500,000,000,000..2… | +1.380581 |  50+3.38292e-04% | +0.856440 | +0.725757 |  50+1.50137e-04% |  50+2.83881e-04% | -0.093110 | +1.068840 | 100.000% |  99.200%
 26 | 2,600,000,000,000..2… | +1.076635 |  50+1.96575e-04% | -1.496023 | -0.832875 |  50-2.26896e-04% |  50-7.64461e-05% | +0.061007 | +0.278397 |  27.800% |  81.200%
 27 | 2,700,000,000,000..2… | +0.736513 |  50+1.46892e-04% | +0.241535 | -0.741893 |  50+1.03655e-04% |  50-2.96523e-05% | -0.414037 | -0.553985 |  47.000% |   0.600%
 28 | 2,800,000,000,000..2… | +0.646850 |  50+1.07669e-04% | -0.857350 | -0.719959 |  50-1.05028e-04% |  50-8.08309e-05% | -0.193095 | -0.039549 |  12.600% |  41.800%
 29 | 2,900,000,000,000..2… | +0.725281 |  50+1.99356e-04% | +0.449967 | -0.203086 |  50+1.00592e-04% |  50+9.06644e-05% | -0.186233 | -0.776000 |  80.600% |   0.400%
 30 | 3,000,000,000,000..3… | +0.844771 |  50+1.34663e-04% | -2.230209 | -1.956845 |  50+3.24470e-05% |  50-4.18064e-05% | +2.435422 | +1.687733 |  31.200% |  98.400%
 31 | 3,100,000,000,000..3… | -1.290412 |  50+6.02760e-05% | -3.304315 | -2.367547 |  50-1.35165e-04% |  50-4.92470e-05% | +2.449456 | +2.056082 |  19.800% | 100.000%
 32 | 3,200,000,000,000..3… | +1.202222 |  50+2.81762e-04% | -0.113665 | -0.275552 |  50+8.78650e-05% |  50+2.09438e-04% | +0.669372 | +1.600154 |  92.000% | 100.000%
 33 | 3,300,000,000,000..3… | +0.385159 |  50+1.23666e-04% | -0.431063 | -0.316285 |  50-2.25380e-05% |  50+1.30449e-06% | -0.288520 | -0.013302 |  53.800% |  51.400%
 34 | 3,400,000,000,000..3… | +0.080233 |  50+2.16080e-05% | -1.936585 | -1.181836 |  50-1.66314e-04% |  50-1.24209e-04% | -0.884723 | -0.172622 |   2.200% |  49.800%
 35 | 3,500,000,000,000..3… | +0.057351 |  50+1.16470e-05% | +0.016501 | -1.260541 |  50+2.75680e-05% |  50-1.43575e-04% | +0.157855 | -0.111306 |   1.600% |  47.200%
 36 | 3,600,000,000,000..3… | +0.825272 |  50+1.30919e-04% | -0.986858 | -0.162800 |  50-4.24740e-05% |  50+1.49016e-05% | +0.718229 | +0.138389 |  50.800% |  59.000%
 37 | 3,700,000,000,000..3… | -0.726812 |  50-1.10542e-04% | -1.943150 | -1.620903 |  50-2.57298e-04% |  50-2.02360e-04% | -0.315855 | +0.048731 |   0.000% |  56.800%
 38 | 3,800,000,000,000..3… | +0.640785 |  50+1.05936e-04% | -0.224718 | -0.929348 |  50+8.40100e-06% |  50-9.43882e-05% | -0.277850 | -0.199404 |  23.200% |  25.400%
 39 | 3,900,000,000,000..3… | +0.032609 |  50+6.70300e-06% | -2.140230 | -0.872682 |  50-2.90575e-04% |  50-1.04123e-04% | -0.302472 | -0.129966 |   2.800% |  26.800%
 40 | 4,000,000,000,000..4… | -1.322022 |  50-2.07076e-04% | -3.851313 | -3.044253 |  50-2.52730e-04% |  50-3.27830e-04% | +2.252908 | +0.854508 |   0.000% |  72.400%
 41 | 4,100,000,000,000..4… | +0.045296 |  50+3.61310e-05% | -0.584534 | -2.098900 |  50-3.86650e-05% |  50-1.35597e-04% | +0.339995 | +1.241311 |   6.400% | 100.000%
 42 | 4,200,000,000,000..4… | +0.908617 |  50+1.46180e-04% | -1.165925 | -0.492489 |  50-8.70760e-05% |  50-1.85279e-05% | -0.615208 | -0.102621 |  29.400% |  47.400%
 43 | 4,300,000,000,000..4… | +0.329092 |  50+8.33310e-05% | -0.482462 | -1.232202 |  50-6.27850e-05% |  50-1.14655e-04% | +0.085375 | -0.455421 |  21.400% |  14.000%
 44 | 4,400,000,000,000..4… | +0.012055 |  50+7.13270e-05% | -0.644175 | -0.983393 |  50-9.20810e-05% |  50-9.51705e-05% | -0.061804 | +0.351283 |  11.400% |  82.800%
 45 | 4,500,000,000,000..4… | +0.730005 |  50+1.16256e-04% | +0.326119 | -0.379738 |  50+7.26060e-05% |  50+1.38703e-05% | +0.133081 | +0.382387 |  57.600% |  79.600%
 46 | 4,600,000,000,000..4… | +1.529094 |  50+2.50176e-04% | -1.383541 | -0.133277 |  50+4.35710e-05% |  50+1.05623e-04% | +1.659108 | +0.036784 |  95.000% |  38.000%
 47 | 4,700,000,000,000..4… | +2.164029 |  50+3.43436e-04% | +1.724732 | -0.367552 |  50+3.29768e-04% |  50+1.04378e-04% | -0.360904 | +1.006197 |  97.000% |  92.800%
 48 | 4,800,000,000,000..4… | +2.086812 |  50+3.45029e-04% | -1.885919 | +0.323541 |  50-2.20207e-04% |  50+1.34644e-04% | -0.493208 | -0.517042 |  67.600% |   5.200%
 49 | 4,900,000,000,000..4… | -1.180061 |  50-1.85669e-04% | -2.069451 | -2.397311 |  50-1.49249e-04% |  50-2.46582e-04% | -1.125518 | -0.760268 |   0.000% |  21.000%
 50 | 5,000,000,000,000..5… | +0.815653 |  50+1.31781e-04% | +0.304610 | -1.178944 |  50+8.83900e-05% |  50-6.90767e-05% | +0.254418 | -0.577362 |  34.200% |  31.000%
 51 | 5,100,000,000,000..5… | +1.371315 |  50+2.22432e-04% | -0.298816 | +0.213397 |  50+1.40300e-06% |  50+1.14462e-04% | +0.307690 | +0.509333 |  91.600% |  99.000%
 52 | 5,200,000,000,000..5… | +2.074106 |  50+3.36472e-04% | +0.985220 | +0.597917 |  50+3.51751e-04% |  50+1.78421e-04% | -1.239448 | -0.161668 |  91.400% |  46.400%
 53 | 5,300,000,000,000..5… | +1.569173 |  50+3.63547e-04% | +0.365964 | +0.042834 |  50+2.41348e-04% |  50+2.33711e-04% | -1.160455 | -1.435283 | 100.000% |   0.000%
 54 | 5,400,000,000,000..5… | +2.474976 |  50+4.18234e-04% | +1.433960 | +1.409547 |  50+2.50182e-04% |  50+3.34488e-04% | +0.148330 | -0.672129 | 100.000% |   7.400%
 55 | 5,500,000,000,000..5… | +1.480793 |  50+2.69358e-04% | -1.933429 | -0.499556 |  50-1.78382e-04% |  50+6.21906e-06% | -0.805242 | +0.387889 |  50.800% |  82.600%
 56 | 5,600,000,000,000..5… | -0.399396 |  50-5.61610e-05% | -1.638047 | -1.441392 |  50-6.29450e-05% |  50-1.35575e-04% | +1.239948 | -0.252818 |   0.000% |  34.600%
 57 | 5,700,000,000,000..5… | +0.462091 |  50+8.21960e-05% | +0.003447 | -0.992345 |  50+4.43210e-05% |  50-8.31431e-05% | +0.276864 | +0.153048 |  20.400% |  61.600%
 58 | 5,800,000,000,000..5… | +1.557359 |  50+3.72222e-04% | +0.661118 | +0.255201 |  50+2.58464e-04% |  50+2.32704e-04% | +0.973551 | +1.216549 | 100.000% | 100.000%
 59 | 5,900,000,000,000..5… | +1.847099 |  50+2.94413e-04% | -0.480590 | +0.354951 |  50-4.38820e-05% |  50+9.45750e-05% | -0.203056 | -0.070356 |  81.600% |  38.000%
 60 | 6,000,000,000,000..6… | +0.776542 |  50+1.38231e-04% | +0.645724 | -0.636086 |  50+1.21889e-04% |  50-4.38561e-05% | -0.125169 | +0.247604 |  17.200% |  66.400%
 61 | 6,100,000,000,000..6… | +1.337062 |  50+2.55722e-04% | -2.362474 | -0.086857 |  50-3.15757e-04% |  50+3.59555e-05% | -0.365452 | +0.073762 |  68.600% |  50.800%
 62 | 6,200,000,000,000..6… | +0.376222 |  50+6.16860e-05% | -0.552564 | -1.346504 |  50+1.51932e-04% |  50-8.25385e-05% | +1.513466 | -0.175890 |  34.000% |  38.000%
 63 | 6,300,000,000,000..6… | -0.832425 |  50+1.23866e-04% | -2.655883 | -1.768084 |  50-2.24929e-04% |  50-1.30409e-04% | -1.233307 | +0.334269 |  17.600% |  56.600%
 64 | 6,400,000,000,000..6… | -0.474405 |  50-7.04340e-05% | -0.570209 | -1.401141 |  50-8.43710e-05% |  50-1.30839e-04% | +0.036600 | -0.254141 |   4.800% |  47.800%
 65 | 6,500,000,000,000..6… | +1.548061 |  50+2.67600e-04% | +0.929343 | +0.337969 |  50+1.61086e-04% |  50+1.15012e-04% | -0.089455 | -0.111157 |  74.400% |  30.800%
 66 | 6,600,000,000,000..6… | +1.392781 |  50+2.20257e-04% | +0.018746 | +0.653899 |  50+1.03817e-04% |  50+1.44486e-04% | +0.637850 | -0.139733 | 100.000% |  18.400%
 67 | 6,700,000,000,000..6… | +0.354011 |  50+1.01162e-04% | -1.228178 | -1.692791 |  50-1.42141e-04% |  50-1.24386e-04% | -0.329199 | +0.883203 |  21.800% |  95.200%
 68 | 6,800,000,000,000..6… | -0.065010 |  50-4.83700e-06% | -1.224851 | -0.895776 |  50-1.03774e-04% |  50-5.97928e-05% | -0.568527 | -0.489071 |  18.800% |  14.200%
 69 | 6,900,000,000,000..6… | -0.015343 |  50+7.15020e-05% | -0.647369 | -0.957964 |  50-2.55440e-05% |  50-3.67605e-05% | -0.485814 | -0.716747 |  24.400% |   4.000%
 70 | 7,000,000,000,000..7… | +1.228507 |  50+1.94733e-04% | +0.155628 | -0.324286 |  50+8.80310e-05% |  50+8.14945e-06% | +0.401129 | -0.200601 |  44.200% |  34.000%
 71 | 7,100,000,000,000..7… | +0.385766 |  50+1.32761e-04% | -0.678637 | -0.629208 |  50-9.07380e-05% |  50-4.14283e-05% | -0.104760 | +0.325507 |  32.800% |  84.800%
 72 | 7,200,000,000,000..7… | +0.959884 |  50+1.52918e-04% | -0.468839 | -0.003839 |  50-2.34820e-05% |  50+4.34599e-05% | -0.320326 | -0.235423 |  76.000% |  22.400%
 73 | 7,300,000,000,000..7… | +0.043247 |  50+1.78580e-05% | -0.198003 | -1.309275 |  50+2.76080e-05% |  50-1.31493e-04% | -0.372611 | -0.464601 |   6.800% |   6.600%
 74 | 7,400,000,000,000..7… | +1.463565 |  50+2.99625e-04% | -0.344878 | +0.623140 |  50+1.63008e-04% |  50+2.14695e-04% | -1.375831 | -0.683912 | 100.000% |  14.800%
 75 | 7,500,000,000,000..7… | -0.346137 |  50+1.53153e-04% | -1.327720 | -1.717530 |  50-9.17430e-05% |  50-1.32511e-04% | +0.747487 | -0.635536 |  18.200% |  26.600%
 76 | 7,600,000,000,000..7… | +1.073138 |  50+1.72596e-04% | -2.130313 | -0.332765 |  50-2.27510e-04% |  50-9.58133e-06% | -0.691413 | +0.054003 |  48.400% |  50.800%
 77 | 7,700,000,000,000..7… | -0.773227 |  50-7.11200e-05% | -0.955925 | -2.307304 |  50-8.10250e-05% |  50-2.66979e-04% | -0.443478 | -0.618765 |   0.000% |   0.200%
 78 | 7,800,000,000,000..7… | +1.239632 |  50+2.03201e-04% | -0.556997 | -0.521958 |  50+2.81310e-05% |  50+3.54961e-06% | -0.734913 | -0.543196 |  43.600% |   1.200%
 79 | 7,900,000,000,000..7… | +0.730745 |  50+1.26445e-04% | -0.021371 | +0.075098 |  50+6.92870e-05% |  50+8.48429e-05% | -0.459580 | -0.414993 |  99.600% |  16.600%
 80 | 8,000,000,000,000..8… | +0.614481 |  50+9.93290e-05% | -3.907576 | -1.870470 |  50-2.59750e-04% |  50-1.44054e-04% | +2.264773 | +0.281225 |  18.800% |  44.600%
 81 | 8,100,000,000,000..8… | -0.881637 |  50-1.35057e-04% | -1.265006 | -2.906146 |  50-1.62186e-04% |  50-2.19618e-04% | +0.239252 | +1.508253 |   0.000% |  95.000%
 82 | 8,200,000,000,000..8… | -0.408117 |  50-3.62020e-05% | -2.106254 | -1.390497 |  50-1.69464e-04% |  50-1.11665e-04% | +1.034470 | +0.679708 |   0.000% |  97.800%
 83 | 8,300,000,000,000..8… | +1.702052 |  50+3.49493e-04% | +1.350577 | +0.078838 |  50+3.26000e-04% |  50+1.04461e-04% | -0.711228 | +0.127029 |  72.200% |  53.400%
 84 | 8,400,000,000,000..8… | +1.156907 |  50+3.23031e-04% | -0.739828 | -0.202262 |  50-3.05110e-05% |  50+7.83171e-05% | +0.546859 | -0.287605 |  59.600% |  42.000%
 85 | 8,500,000,000,000..8… | +0.361278 |  50+1.63549e-04% | +0.309758 | -0.616370 |  50+8.32210e-05% |  50+7.09449e-05% | +0.216578 | +1.065065 |  92.600% | 100.000%
 86 | 8,600,000,000,000..8… | +0.749959 |  50+1.75822e-04% | -1.496605 | -0.423989 |  50+1.13645e-04% |  50+1.03512e-04% | +2.215359 | +1.077257 | 100.000% |  98.000%
 87 | 8,700,000,000,000..8… | +1.406746 |  50+2.73369e-04% | -1.229449 | -0.441400 |  50-1.56200e-06% |  50+1.24125e-04% | +1.219570 | +1.226434 |  99.400% | 100.000%
 88 | 8,800,000,000,000..8… | -1.074846 |  50-8.30970e-05% | -1.423151 | -2.025436 |  50-1.24770e-05% |  50-8.09767e-05% | +1.344240 | +1.513295 |   4.400% | 100.000%

Retained Anticipation: 50+1.01332e-04%
Settlement Adjusted Anticipation: 50+1.46679e-04%

Best excursion segment:
  idx         : 11

  TrueZ:
    bestTrueZ   : +2.637359
    meanTrueZ   : +1.054525
    endTrueZ    : +0.324968

  Anticipation:
    aAtTrueZ    : 50+4.40044e-04%
    mean a      : 50+3.48466e-04%
    min a       : 50+1.93887e-04%
    max a       : 50+4.67253e-04%
    end a       : 50+2.91946e-04%
    pct a >= 50 : 100.0000%

  Heads:
    best ZHeads : +0.145724
    mean ZHeads : +1.149366
    min ZHeads  : +0.122260
    max ZHeads  : +2.159836
    end ZHeads  : +1.521460
    pct ZH >= 0 : 100.0000%

Best settlement segment:
  idx         : 10

  TrueZ:
    bestTrueZ   : +2.050313
    meanTrueZ   : +0.090171
    endTrueZ    : +1.739335

  Anticipation:
    aAtTrueZ    : 50+4.48437e-04%
    mean a      : 50+1.65560e-04%
    min a       : 50-6.43070e-05%
    max a       : 50+4.48548e-04%
    end a       : 50+4.31584e-04%
    pct a >= 50 : 91.6000%

  Heads:
    best ZHeads : +0.785851
    mean ZHeads : +0.956921
    min ZHeads  : +0.292530
    max ZHeads  : +1.514080
    end ZHeads  : +0.990242
    pct ZH >= 0 : 100.0000%

Worst settlement segment:
  idx         : 80

  TrueZ:
    bestTrueZ   : +0.614481
    meanTrueZ   : -1.870470
    endTrueZ    : -3.907576

  Anticipation:
    aAtTrueZ    : 50+9.93290e-05%
    mean a      : 50-1.44054e-04%
    min a       : 50-3.23923e-04%
    max a       : 50+1.06583e-04%
    end a       : 50-2.59750e-04%
    pct a >= 50 : 18.8000%

  Heads:
    best ZHeads : -0.013731
    mean ZHeads : +0.281225
    min ZHeads  : -1.516040
    max ZHeads  : +2.267764
    end ZHeads  : +2.264773
    pct ZH >= 0 : 44.6000%

File compute time: 5.01:15:36.9955102
================================================================
TRACKER: crypto_RandomSD.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+3.9e-05% (Z:+0.2487) | a: 50+3.5e-04% (Z:+2.2083) | aHeads: 50+2.2e-04% | aTails: 50+4.8e-04% | aSame: 50+1.0e-04% | aDiff: 50+6.0e-04% | [RATE] H/T: 50+3.9e-04%/ 50+3.1e-04% S/D: 50+1.0e-04%/ 50+6.0e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 00:00:00 | Z(3.00) in 01:46:13

segments              : 135
Edge Excursion Score  : +0.564258   // median(best TrueZ per segment)
Edge Settlement Score : -0.758059   // mean(end TrueZ per segment)
Edge Persistence Index: -0.370328   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.591953
medianBestTrueZ       : +0.564258
avgEndTrueZ           : -0.758059
medianEndTrueZ        : -0.765069
avgMeanTrueZ          : -0.779104

bestTrueZ >= 1.96     :   8.1481%
bestTrueZ >= 3.00     :   2.2222%
endTrueZ  >= 0.00     :  22.9630%
endTrueZ  >= 1.96     :   1.4815%
meanTrueZ >= 0.00     :  13.3333%

Anticipation Path:
avgMeanA               : 50+2.57642e-06%
avgEndA                : 50+4.74868e-06%
medianEndA             : 50-1.26520e-05%
avgPctAAtLeast50       :  48.8521%
endA >= 50.00          :  48.1481%

Underlying Heads:
avgMeanZHeads          : +0.057841
avgEndZHeads           : +0.063780
medianEndZHeads        : +0.220942
avgPctZHeadsAbove0     :  54.4583%
endZHeads >= 0.00      :  60.7407%
|endZHeads| >= 1.96    :   6.6667%
corrMeanZHeadsMeanTrueZ: +0.098613
corrEndZHeadsEndTrueZ  : +0.094211
corrMeanAMeanZHeads    : +0.044450
corrEndAEndZHeads      : +0.009174
corrMeanAMeanTrueZ     : +0.886512
corrEndAEndTrueZ       : +0.871156

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
----+-----------------------+-----------+------------------+-----------+-----------+------------------+------------------+-----------+-----------+---------+---------
  0 | 200,000,000..99,800,… | +0.406957 |  50+8.31748e-05% | -1.294091 | -1.551245 |  50-1.37067e-04% |  50-1.78575e-04% | +0.428069 | -0.819683 |  17.034% |  35.872%
  1 | 100,000,000,000..199… | -0.586375 |  50+6.90400e-05% | -1.506579 | -1.510997 |  50-1.33350e-05% |  50-3.72217e-05% | +1.422241 | +1.275586 |  37.200% | 100.000%
  2 | 200,000,000,000..299… | +0.056598 |  50+1.24200e-04% | -0.094090 | -1.087795 |  50+8.38410e-05% |  50+3.36697e-05% | +0.624347 | +1.300741 |  60.400% | 100.000%
  3 | 300,000,000,000..399… | +1.886615 |  50+3.01193e-04% | -0.837479 | -0.340909 |  50-2.95500e-05% |  50+8.54676e-05% | +0.650588 | +0.877052 |  89.000% |  95.000%
  4 | 400,000,000,000..499… | -0.520568 |  50-7.77870e-05% | -0.542931 | -1.487326 |  50-7.03790e-05% |  50-1.39656e-04% | +0.097816 | +0.307410 |   0.000% |  58.800%
  5 | 500,000,000,000..599… | +0.176202 |  50+3.88940e-05% | -0.604571 | -0.663144 |  50-1.95470e-05% |  50-5.27590e-05% | +0.480944 | -0.064884 |   4.200% |  51.800%
  6 | 600,000,000,000..699… | -0.222384 |  50-1.29210e-05% | -0.841571 | -1.039135 |  50-8.38680e-05% |  50-9.09409e-05% | +0.311143 | +0.442430 |   0.400% |  92.200%
  7 | 700,000,000,000..799… | -0.304376 |  50-4.01700e-05% | -1.269370 | -1.088486 |  50-1.92826e-04% |  50-1.11595e-04% | +0.049831 | -0.019305 |   0.000% |  55.200%
  8 | 800,000,000,000..899… | +1.503524 |  50+2.42516e-04% | +0.863624 | -0.561199 |  50+1.48067e-04% |  50+1.84023e-05% | -0.072834 | +0.590210 |  48.600% |  77.600%
  9 | 900,000,000,000..999… | +1.099271 |  50+1.77172e-04% | -0.286186 | -0.662015 |  50-1.52610e-05% |  50-6.67331e-06% | -0.189667 | -0.509803 |  37.600% |  15.600%
 10 | 1,000,000,000,000..1… | +0.790860 |  50+1.47314e-04% | -0.145996 | -0.023256 |  50+1.18500e-05% |  50+6.91060e-05% | +0.220942 | -0.004324 |  92.200% |  48.200%
 11 | 1,100,000,000,000..1… | +0.196605 |  50+7.27920e-05% | -1.292436 | -0.824382 |  50-6.23670e-05% |  50-2.83568e-05% | -0.897992 | -0.606647 |  23.800% |   7.200%
 12 | 1,200,000,000,000..1… | +0.822597 |  50+1.96871e-04% | -0.209729 | -0.630502 |  50+1.54543e-04% |  50+8.33962e-05% | -1.187144 | -1.157946 |  88.400% |   0.000%
